time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-01-02 00:00:00,11.0,26.0,183,99,217,100,12,1,2,2018,2018-01-02 00:00:00,2018-1-2,648.0
00:30:00,2018-01-02 00:30:00,10.0,28.0,164,85,189,102,10,1,2,2018,2018-01-02 00:30:00,2018-1-2,588.0
01:00:00,2018-01-02 01:00:00,10.0,25.0,140,78,151,78,9,1,2,2018,2018-01-02 01:00:00,2018-1-2,491.0
01:30:00,2018-01-02 01:30:00,8.0,18.0,79,42,93,52,5,1,2,2018,2018-01-02 01:30:00,2018-1-2,297.0
02:00:00,2018-01-02 02:00:00,16.0,14.0,45,28,55,21,3,1,2,2018,2018-01-02 02:00:00,2018-1-2,182.0
02:30:00,2018-01-02 02:30:00,44.0,11.0,32,19,39,21,2,1,2,2018,2018-01-02 02:30:00,2018-1-2,168.0
03:00:00,2018-01-02 03:00:00,83.0,13.0,54,27,56,23,3,1,2,2018,2018-01-02 03:00:00,2018-1-2,259.0
03:30:00,2018-01-02 03:30:00,153.0,16.0,99,55,113,54,8,1,2,2018,2018-01-02 03:30:00,2018-1-2,498.0
04:00:00,2018-01-02 04:00:00,257.0,22.0,172,111,207,104,13,1,2,2018,2018-01-02 04:00:00,2018-1-2,886.0
04:30:00,2018-01-02 04:30:00,382.0,37.0,272,165,283,144,19,1,2,2018,2018-01-02 04:30:00,2018-1-2,1302.0
05:00:00,2018-01-02 05:00:00,419.0,55.0,334,198,380,162,29,1,2,2018,2018-01-02 05:00:00,2018-1-2,1577.0
05:30:00,2018-01-02 05:30:00,597.0,53.0,449,229,491,251,28,1,2,2018,2018-01-02 05:30:00,2018-1-2,2098.0
06:00:00,2018-01-02 06:00:00,358.0,70.0,318,181,389,155,18,1,2,2018,2018-01-02 06:00:00,2018-1-2,1489.0
06:30:00,2018-01-02 06:30:00,396.0,136.0,258,141,250,140,14,1,2,2018,2018-01-02 06:30:00,2018-1-2,1335.0
07:00:00,2018-01-02 07:00:00,438.0,142.0,284,177,361,156,22,1,2,2018,2018-01-02 07:00:00,2018-1-2,1580.0
07:30:00,2018-01-02 07:30:00,378.0,195.0,313,184,356,150,21,1,2,2018,2018-01-02 07:30:00,2018-1-2,1597.0
08:00:00,2018-01-02 08:00:00,274.0,133.0,305,171,334,146,18,1,2,2018,2018-01-02 08:00:00,2018-1-2,1381.0
08:30:00,2018-01-02 08:30:00,312.0,111.0,338,192,399,179,23,1,2,2018,2018-01-02 08:30:00,2018-1-2,1554.0
09:00:00,2018-01-02 09:00:00,267.0,85.0,342,201,381,234,21,1,2,2018,2018-01-02 09:00:00,2018-1-2,1531.0
09:30:00,2018-01-02 09:30:00,218.0,95.0,342,180,375,210,24,1,2,2018,2018-01-02 09:30:00,2018-1-2,1444.0
10:00:00,2018-01-02 10:00:00,209.0,82.0,400,189,414,202,27,1,2,2018,2018-01-02 10:00:00,2018-1-2,1523.0
10:30:00,2018-01-02 10:30:00,250.0,80.0,380,206,370,200,23,1,2,2018,2018-01-02 10:30:00,2018-1-2,1509.0
11:00:00,2018-01-02 11:00:00,217.0,88.0,364,197,433,165,21,1,2,2018,2018-01-02 11:00:00,2018-1-2,1485.0
11:30:00,2018-01-02 11:30:00,250.0,91.0,399,191,394,194,24,1,2,2018,2018-01-02 11:30:00,2018-1-2,1543.0
12:00:00,2018-01-02 12:00:00,229.0,88.0,342,183,377,166,22,1,2,2018,2018-01-02 12:00:00,2018-1-2,1407.0
12:30:00,2018-01-02 12:30:00,284.0,111.0,372,231,404,163,24,1,2,2018,2018-01-02 12:30:00,2018-1-2,1589.0
13:00:00,2018-01-02 13:00:00,341.0,91.0,366,215,418,193,30,1,2,2018,2018-01-02 13:00:00,2018-1-2,1654.0
13:30:00,2018-01-02 13:30:00,287.0,103.0,402,229,471,180,27,1,2,2018,2018-01-02 13:30:00,2018-1-2,1699.0
14:00:00,2018-01-02 14:00:00,179.0,81.0,372,219,409,228,22,1,2,2018,2018-01-02 14:00:00,2018-1-2,1510.0
14:30:00,2018-01-02 14:30:00,192.0,77.0,424,190,408,235,26,1,2,2018,2018-01-02 14:30:00,2018-1-2,1552.0
15:00:00,2018-01-02 15:00:00,194.0,92.0,383,222,485,198,28,1,2,2018,2018-01-02 15:00:00,2018-1-2,1602.0
15:30:00,2018-01-02 15:30:00,171.0,133.0,364,217,434,205,28,1,2,2018,2018-01-02 15:30:00,2018-1-2,1552.0
16:00:00,2018-01-02 16:00:00,146.0,139.0,387,220,420,215,27,1,2,2018,2018-01-02 16:00:00,2018-1-2,1554.0
16:30:00,2018-01-02 16:30:00,164.0,158.0,379,258,478,246,30,1,2,2018,2018-01-02 16:30:00,2018-1-2,1713.0
17:00:00,2018-01-02 17:00:00,128.0,180.0,402,233,493,218,28,1,2,2018,2018-01-02 17:00:00,2018-1-2,1682.0
17:30:00,2018-01-02 17:30:00,90.0,144.0,384,226,442,178,21,1,2,2018,2018-01-02 17:30:00,2018-1-2,1485.0
18:00:00,2018-01-02 18:00:00,74.0,107.0,318,178,341,192,21,1,2,2018,2018-01-02 18:00:00,2018-1-2,1231.0
18:30:00,2018-01-02 18:30:00,75.0,87.0,294,159,357,160,18,1,2,2018,2018-01-02 18:30:00,2018-1-2,1150.0
19:00:00,2018-01-02 19:00:00,79.0,69.0,346,180,391,190,24,1,2,2018,2018-01-02 19:00:00,2018-1-2,1279.0
19:30:00,2018-01-02 19:30:00,58.0,49.0,303,176,353,144,20,1,2,2018,2018-01-02 19:30:00,2018-1-2,1103.0
20:00:00,2018-01-02 20:00:00,83.0,44.0,255,145,275,143,17,1,2,2018,2018-01-02 20:00:00,2018-1-2,962.0
20:30:00,2018-01-02 20:30:00,59.0,59.0,299,151,297,158,18,1,2,2018,2018-01-02 20:30:00,2018-1-2,1041.0
21:00:00,2018-01-02 21:00:00,59.0,40.0,336,193,418,183,20,1,2,2018,2018-01-02 21:00:00,2018-1-2,1249.0
21:30:00,2018-01-02 21:30:00,57.0,37.0,334,190,360,165,23,1,2,2018,2018-01-02 21:30:00,2018-1-2,1166.0
22:00:00,2018-01-02 22:00:00,25.0,33.0,296,167,310,155,20,1,2,2018,2018-01-02 22:00:00,2018-1-2,1006.0
22:30:00,2018-01-02 22:30:00,30.0,28.0,199,108,210,128,13,1,2,2018,2018-01-02 22:30:00,2018-1-2,716.0
23:00:00,2018-01-02 23:00:00,20.0,24.0,174,98,177,94,13,1,2,2018,2018-01-02 23:00:00,2018-1-2,600.0
23:30:00,2018-01-02 23:30:00,17.0,19.0,175,90,185,100,11,1,2,2018,2018-01-02 23:30:00,2018-1-2,597.0
